CPUs available: 56
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=648028, Thu Mar 20 18:26:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  242  13552 1.788503204092097e+01 1.4e+01 5.18e-05  1e-05  3e-05 2557:07.1
  243  13608 1.788503204092500e+01 1.4e+01 5.60e-05  1e-05  4e-05 2567:42.4
  244  13664 1.788503204092495e+01 1.7e+01 5.93e-05  2e-05  4e-05 2578:12.3
  245  13720 1.788503204092464e+01 1.8e+01 5.33e-05  1e-05  4e-05 2588:44.8
  246  13776 1.788503204092332e+01 1.9e+01 4.62e-05  1e-05  3e-05 2599:13.6
  247  13832 1.788503204092388e+01 1.7e+01 4.72e-05  1e-05  3e-05 2609:49.5
  248  13888 1.788503204092546e+01 1.8e+01 4.22e-05  1e-05  3e-05 2620:23.7
  249  13944 1.788503204092242e+01 2.0e+01 4.27e-05  1e-05  3e-05 2630:56.8
  250  14000 1.788503204091867e+01 2.1e+01 4.73e-05  1e-05  3e-05 2641:31.0
  251  14056 1.788503204092419e+01 2.0e+01 4.41e-05  1e-05  3e-05 2652:02.4
  252  14112 1.788503204092373e+01 2.0e+01 4.39e-05  1e-05  3e-05 2662:35.3
  253  14168 1.788503204092141e+01 1.9e+01 4.41e-05  1e-05  3e-05 2673:06.9
  254  14224 1.788503204092179e+01 1.9e+01 4.96e-05  1e-05  3e-05 2683:39.1
  255  14280 1.788503204092484e+01 2.0e+01 5.06e-05  1e-05  3e-05 2694:16.1
  256  14336 1.788503204092148e+01 2.0e+01 4.95e-05  1e-05  3e-05 2704:49.7
  257  14392 1.788503204092346e+01 2.1e+01 5.05e-05  1e-05  3e-05 2715:25.2
  258  14448 1.788503204092549e+01 1.9e+01 4.97e-05  9e-06  3e-05 2725:57.7
  259  14504 1.788503204092390e+01 2.0e+01 6.00e-05  1e-05  4e-05 2736:29.9
  260  14560 1.788503204092679e+01 2.1e+01 5.88e-05  1e-05  4e-05 2747:05.6
  261  14616 1.788503204092383e+01 2.2e+01 6.39e-05  1e-05  4e-05 2757:38.0
  262  14672 1.788503204092217e+01 2.1e+01 6.71e-05  1e-05  4e-05 2768:11.2
  263  14728 1.788503204092602e+01 2.2e+01 6.60e-05  1e-05  4e-05 2778:47.6
  264  14784 1.788503204092012e+01 2.2e+01 6.94e-05  1e-05  4e-05 2789:19.7
  265  14840 1.788503204092102e+01 2.2e+01 7.95e-05  1e-05  5e-05 2799:48.0
  266  14896 1.788503204092469e+01 2.3e+01 9.51e-05  2e-05  6e-05 2810:19.5
  267  14952 1.788503204092136e+01 2.3e+01 9.76e-05  2e-05  6e-05 2820:49.9
  268  15008 1.788503204092204e+01 2.5e+01 9.26e-05  1e-05  5e-05 2831:19.3
  269  15064 1.788503204092174e+01 2.5e+01 1.00e-04  1e-05  6e-05 2841:51.8
  270  15120 1.788503204092243e+01 2.7e+01 1.01e-04  1e-05  5e-05 2852:26.8
